일자,폭염여부(O/X),행정구역
20230501,X,서울
20230502,X,서울
20230503,X,서울
20230504,X,서울
20230505,X,서울
20230506,X,서울
20230507,X,서울
20230508,X,서울
20230509,X,서울
20230510,X,서울
20230511,X,서울
20230512,X,서울
20230513,X,서울
20230514,X,서울
20230515,X,서울
20230516,X,서울
20230517,X,서울
20230518,X,서울
20230519,X,서울
20230520,X,서울
20230521,X,서울
20230522,X,서울
20230523,X,서울
20230524,X,서울
20230525,X,서울
20230526,X,서울
20230527,X,서울
20230528,X,서울
20230529,X,서울
20230530,X,서울
20230531,X,서울
20230601,X,서울
20230602,X,서울
20230603,X,서울
20230604,X,서울
20230605,X,서울
20230606,X,서울
20230607,X,서울
20230608,X,서울
20230609,X,서울
20230610,X,서울
20230611,X,서울
20230612,X,서울
20230613,X,서울
20230614,X,서울
20230615,X,서울
20230616,X,서울
20230617,X,서울
20230618,X,서울
20230619,O,서울
20230620,X,서울
20230621,X,서울
20230622,X,서울
20230623,X,서울
20230624,X,서울
20230625,O,서울
20230626,X,서울
20230627,X,서울
20230628,X,서울
20230629,X,서울
20230630,X,서울
20230701,X,서울
20230702,X,서울
20230703,O,서울
20230704,X,서울
20230705,X,서울
20230706,X,서울
20230707,X,서울
20230708,X,서울
20230709,X,서울
20230710,X,서울
20230711,X,서울
20230712,X,서울
20230713,X,서울
20230714,X,서울
20230715,X,서울
20230716,X,서울
20230717,X,서울
20230718,X,서울
20230719,X,서울
20230720,X,서울
20230721,O,서울
20230722,X,서울
20230723,X,서울
20230724,X,서울
20230725,X,서울
20230726,X,서울
20230727,X,서울
20230728,O,서울
20230729,O,서울
20230730,O,서울
20230731,O,서울
20230801,O,서울
20230802,O,서울
20230803,O,서울
20230804,O,서울
20230805,O,서울
20230806,O,서울
20230807,O,서울
20230808,O,서울
20230809,X,서울
20230810,X,서울
20230811,X,서울
20230812,X,서울
20230813,X,서울
20230814,X,서울
20230815,X,서울
20230816,X,서울
20230817,X,서울
20230818,O,서울
20230819,O,서울
20230820,X,서울
20230821,O,서울
20230822,X,서울
20230823,X,서울
20230824,X,서울
20230825,X,서울
20230826,X,서울
20230827,X,서울
20230828,X,서울
20230829,X,서울
20230830,X,서울
20230831,X,서울
20230901,X,서울
20230902,X,서울
20230903,X,서울
20230904,X,서울
20230905,X,서울
20230906,X,서울
20230907,X,서울
20230908,X,서울
20230909,X,서울
20230910,X,서울
20230911,X,서울
20230912,X,서울
20230913,X,서울
20230914,X,서울
20230915,X,서울
20230916,X,서울
20230917,X,서울
20230918,X,서울
20230919,X,서울
20230920,X,서울
20230921,X,서울
20230922,X,서울
20230923,X,서울
20230924,X,서울
20230925,X,서울
20230926,X,서울
20230927,X,서울
20230928,X,서울
20230929,X,서울
20230930,X,서울
